campaign_id,campaign_name,state,market_type,eligible_lead_count
677ab3ec27b78ac01f4bc5db,Globe-VN-HI,HI,VN,949
677710a8e345699491e6d8bf,Veteran - PAVET - IL,IL,PAVET,2857
677715fde345699491e74921,Veteran - PAVET - UT,UT,PAVET,795
677712d0e345699491e703b7,Veteran - PAVET - MS,MS,PAVET,1481
67771657e345699491e75b16,Veteran - PAVET - WI,WI,PAVET,2277
677711cae345699491e6f00b,Veteran - PAVET - KS,KS,PAVET,1101
677ab91427b78ac01f4c0a18,Globe-VN-PA,PA,VN,2454
677ab8d927b78ac01f4c0693,Globe-VN-OR,OR,VN,1168
67771634e345699491e74d90,Veteran - PAVET - WA,WA,PAVET,2017
677712f4e345699491e70703,Veteran - PAVET - MT,MT,PAVET,484
677ab5a127b78ac01f4be170,Globe-VN-NV,NV,VN,568
677ab97b27b78ac01f4c113d,Globe-VN-TX,TX,VN,1584
677ab4e927b78ac01f4bd59a,Globe-VN-MN,MN,VN,1478
677712bfe345699491e70224,Veteran - PAVET - MN,MN,PAVET,1958
67771336e345699491e70d86,Veteran - PAVET - NV,NV,PAVET,1019
6777135ae345699491e71133,Veteran - PAVET - NJ,NJ,PAVET,1953
67771090e345699491e6d5fc,Veteran - PAVET - ID,ID,PAVET,701
677abc3727b78ac01f4c3496,Globe-VN-WI,WI,VN,2257
67771646e345699491e7545f,Veteran - PAVET - WV,WV,PAVET,835
677ab81827b78ac01f4c015a,Globe-VN-NC,NC,VN,4298
67771587e345699491e74080,Veteran - PAVET - RI,RI,PAVET,167
677ab96127b78ac01f4c0f9f,Globe-VN-SD,SD,VN,661
677ab88127b78ac01f4c02d9,Globe-VN-OH,OH,VN,2595
67771325e345699491e70bb2,Veteran - PAVET - NE,NE,PAVET,798
677ab43f27b78ac01f4bca84,Globe-VN-IN,IN,VN,1615
67770d61e345699491e695ca,Veteran - PAVET - AL,AL,PAVET,2510
677715a4e345699491e7435e,Veteran - PAVET - SC,SC,PAVET,2303
677ab45427b78ac01f4bcbcf,Globe-VN-IA,IA,VN,1629
677ab38727b78ac01f4bc35a,Globe-VN-FL,FL,VN,1680
677ab97027b78ac01f4c1094,Globe-VN-TN,TN,VN,3004
67771621e345699491e74ba1,Veteran - PAVET - VA,VA,PAVET,2932
67771348e345699491e70f5f,Veteran - PAVET - NH,NH,PAVET,381
677ab53e27b78ac01f4bda8d,Globe-VN-MT,MT,VN,629
677ab4da27b78ac01f4bd4a0,Globe-VN-MI,MI,VN,2983
677ab57727b78ac01f4bdef4,Globe-VN-NE,NE,VN,560
677abb7227b78ac01f4c2808,Globe-VN-VT,VT,VN,295
677abb5d27b78ac01f4c269c,Globe-VN-UT,UT,VN,1005
677ab30327b78ac01f4bbd37,Globe-VN-CA,CA,VN,2748
677715b5e345699491e744fe,Veteran - PAVET - SD,SD,PAVET,410
677ab4b127b78ac01f4bd221,Globe-VN-MD,MD,VN,1292
67771027e345699491e6cc2a,Veteran - PAVET - DE,DE,PAVET,539
6777166ae345699491e75ca4,Veteran - PAVET - WY,WY,PAVET,247
67770f49e345699491e6ba73,Veteran - PAVET - CT,CT,PAVET,632
677ab82c27b78ac01f4c016e,Globe-VN-ND,ND,VN,457
67771472e345699491e7241a,Veteran - PAVET - NM,NM,PAVET,780
6777160de345699491e749d8,Veteran - PAVET - VT,VT,PAVET,158
677ab5b627b78ac01f4be330,Globe-VN-NH,NH,VN,490
67770de8e345699491e69ce2,Veteran - PAVET - AK,AK,PAVET,238
677ab41c27b78ac01f4bc80d,Globe-VN-ID,ID,VN,1045
67771505e345699491e732b9,Veteran - PAVET - ND,ND,PAVET,373
67771076e345699491e6d3d3,Veteran - PAVET - HI,HI,PAVET,434
677ab31727b78ac01f4bbd6c,Globe-VN-CO,CO,VN,622
677ab4c627b78ac01f4bd35d,Globe-VN-MA,MA,VN,255
67771265e345699491e6fa37,Veteran - PAVET - ME,ME,PAVET,615
677ab35927b78ac01f4bc05c,Globe-VN-DE,DE,VN,545
677ab7eb27b78ac01f4bffc1,Globe-VN-NM,NM,VN,529
6777103be345699491e6ce05,Veteran - PAVET - DC,DC,PAVET,107
677ab92427b78ac01f4c0b16,Globe-VN-RI,RI,VN,113
677ab80b27b78ac01f4c0141,Globe-VN-NY,NY,VN,326
677ab16c27b78ac01f4ba371,Globe-VN-AK,AK,VN,612
677ab92f27b78ac01f4c0c39,Globe-VN-SC,SC,VN,9
677ab36e27b78ac01f4bc1ce,Globe-VN-DC,DC,VN,247
677ab48b27b78ac01f4bcfc3,Globe-VN-LA,LA,VN,5
677ab19727b78ac01f4ba636,Globe-VN-AR,AR,VN,6
677ab39a27b78ac01f4bc49c,Globe-VN-GA,GA,VN,9
677abc2327b78ac01f4c3357,Globe-VN-WV,WV,VN,4
677ab8cb27b78ac01f4c05b5,Globe-VN-OK,OK,VN,7
677ab50b27b78ac01f4bd79c,Globe-VN-MS,MS,VN,2
677ab08027b78ac01f4b99dc,Globe-VN-AL,AL,VN,10
677ab46727b78ac01f4bcd05,Globe-VN-KS,KS,VN,3
677ab49b27b78ac01f4bd0c2,Globe-VN-ME,ME,VN,2
